time_s,max_C_1d,max_C_2d,difference_2d_minus_1d
0.000000000000000000e+00,2.549999999999999822e+00,2.549999999999999822e+00,0.000000000000000000e+00
6.000000000000000000e+02,2.549999999999928768e+00,2.549999999999930100e+00,1.332267629550187849e-15
1.200000000000000000e+03,2.549999726062937011e+00,2.549999726076545681e+00,1.360866974664531881e-11
1.800000000000000000e+03,2.549932896676665006e+00,2.549932896718728692e+00,4.206368586778808094e-11
2.400000000000000000e+03,2.548779357661897116e+00,2.548779356333906954e+00,-1.327990162280912045e-09
3.000000000000000000e+03,2.542680474344901853e+00,2.542680473456206958e+00,-8.886948954511808552e-10
3.600000000000000000e+03,2.525712112202441961e+00,2.525712093250134682e+00,-1.895230727910757196e-08
4.200000000000000000e+03,2.493609619983462977e+00,2.493609469972566828e+00,-1.500108961494106552e-07
4.800000000000000000e+03,2.446076260090066956e+00,2.446075616046949008e+00,-6.440431179477457135e-07
5.400000000000000000e+03,2.386046013853506231e+00,2.386044192050803314e+00,-1.821802702917096894e-06
6.000000000000000000e+03,2.317722322907455279e+00,2.317718468905582974e+00,-3.854001872305445886e-06
6.600000000000000000e+03,2.244995496306531724e+00,2.244988821716552785e+00,-6.674589978938882950e-06
7.200000000000000000e+03,2.170847814287213851e+00,2.170837826631245360e+00,-9.987655968490827263e-06
7.800000000000000000e+03,2.097331448096462658e+00,2.097318052523786225e+00,-1.339557267643343152e-05
8.400000000000000000e+03,2.025738738425651331e+00,2.025722212554779134e+00,-1.652587087219714590e-05
9.000000000000000000e+03,1.956644153162098831e+00,1.956625040568640950e+00,-1.911259345788174357e-05
9.600000000000000000e+03,1.890340179384429886e+00,1.890319181636186174e+00,-2.099774824371181126e-05
1.020000000000000000e+04,1.826867175808990940e+00,1.826845054135392443e+00,-2.212167359849637194e-05
1.080000000000000000e+04,1.766181035233332031e+00,1.766158500621922922e+00,-2.253461140910850702e-05
1.140000000000000000e+04,1.708150217812887117e+00,1.708127859200871068e+00,-2.235861201604905091e-05
1.200000000000000000e+04,1.652680199074441747e+00,1.652658488914801049e+00,-2.171015964069766824e-05
1.260000000000000000e+04,1.599647999537220810e+00,1.599627254905040097e+00,-2.074463218071365134e-05
