t_h,r_0cm,r_0.5cm,r_1cm,r_1.5cm,r_2cm
6.00000000,1.0169621610,0.9881330471,0.9015243204,0.7550101772,0.5327917096
12.00000000,0.4561450879,0.4431608135,0.4030743072,0.3297390852,0.1641897974
18.00000000,0.2988391614,0.2915486377,0.2687091316,0.2253000138,0.0844780005
24.00000000,0.2377965493,0.2327367777,0.2167235590,0.1855480015,0.0664739181
30.00000000,0.2058214619,0.2018428382,0.1891653652,0.1640902710,0.0598406840
36.00000000,0.1858757163,0.1825278523,0.1718094591,0.1503735874,0.0566482239
42.00000000,0.1720643057,0.1691307887,0.1597057696,0.1407007858,0.0548529423
48.00000000,0.1618259103,0.1591867941,0.1506843130,0.1334290664,0.0537347270
54.00000000,0.1538657098,0.1514475932,0.1436398009,0.1277118175,0.0529861303
57.47310000,0.1499993913,0.1476860384,0.1402082569,0.1249139320,0.0526594635
