t_h,r_0cm,r_0.5cm,r_1cm,r_1.5cm,r_2cm
6.00000000,1.0169622290,0.9881331056,0.9015243486,0.7550101388,0.5327916559
12.00000000,0.4561451651,0.4431608900,0.4030743793,0.3297391147,0.1641897161
18.00000000,0.2988392870,0.2915487706,0.2687092922,0.2253002456,0.0844776133
24.00000000,0.2377967735,0.2327370257,0.2167239006,0.1855486375,0.0664734395
30.00000000,0.2058218263,0.2018432413,0.1891659164,0.1640912755,0.0598404231
36.00000000,0.1858762104,0.1825283917,0.1718101688,0.1503747992,0.0566481563
42.00000000,0.1720648945,0.1691314231,0.1597065724,0.1407020709,0.0548529770
48.00000000,0.1618265579,0.1591874842,0.1506851580,0.1334303451,0.0537348040
54.00000000,0.1538663880,0.1514483094,0.1436406544,0.1277130493,0.0529862193
57.47333333,0.1499998329,0.1476865218,0.1402088880,0.1249149503,0.0526595328
