time_s,air_T_C,surface_C_drybasis,air_dewpoint_C,baseline_center_T_C,baseline_surface_T_C,latent_center_T_C,latent_surface_T_C
0.000000000000000000e+00,2.800000000000000000e+01,2.549999999999999822e+00,2.462839565535508513e+01,2.800000000000000000e+01,2.800000000000000000e+01,2.800000000000000000e+01,2.800000000000000000e+01
1.000000000000000000e+00,2.800880000000000081e+01,2.518123068927162755e+00,2.463375964140961472e+01,2.799999999999997868e+01,2.800018355696458272e+01,2.800000000000000711e+01,2.659166875790411311e+01
2.000000000000000000e+00,2.801760000000000161e+01,2.504766527338006643e+00,2.463912179786614587e+01,2.799999999999999289e+01,2.800052099064381039e+01,2.800000000000008882e+01,2.603023713779315074e+01
3.000000000000000000e+00,2.802639999999999887e+01,2.494611825474700506e+00,2.464448212593639553e+01,2.799999999999999289e+01,2.800095618886206594e+01,2.800000000000013856e+01,2.560772608518496085e+01
4.000000000000000000e+00,2.803519999999999968e+01,2.486100060568147807e+00,2.464984062683093313e+01,2.800000000000001066e+01,2.800146953800057759e+01,2.800000000000015632e+01,2.525712752123771665e+01
5.000000000000000000e+00,2.804400000000000048e+01,2.478634291880579710e+00,2.465519730175904556e+01,2.800000000000003908e+01,2.800204973988258317e+01,2.800000000000021316e+01,2.495245074304258992e+01
6.000000000000000000e+00,2.805280000000000129e+01,2.471909848735630799e+00,2.466055215192895744e+01,2.800000000000005684e+01,2.800268918330922929e+01,2.800000000000021672e+01,2.468036426941137407e+01
7.000000000000000000e+00,2.806159999999999854e+01,2.465746418395645012e+00,2.466590517854760733e+01,2.800000000000008171e+01,2.800338229465459605e+01,2.800000000000024514e+01,2.443294855883959471e+01
8.000000000000000000e+00,2.807039999999999935e+01,2.460026606464170928e+00,2.467125638282072231e+01,2.800000000000011013e+01,2.800412476261934813e+01,2.800000000000027356e+01,2.420504782288812251e+01
9.000000000000000000e+00,2.807920000000000016e+01,2.454669132121232167e+00,2.467660576595287125e+01,2.800000000000011724e+01,2.800491311084456925e+01,2.800000000000029843e+01,2.399308467372837939e+01
1.000000000000000000e+01,2.808800000000000097e+01,2.449614688574922372e+00,2.468195332914743645e+01,2.800000000000012790e+01,2.800574448041771447e+01,2.800000000000031974e+01,2.379445142737884211e+01
1.100000000000000000e+01,2.809679999999999822e+01,2.444818759324176138e+00,2.468729907360658160e+01,2.800000000000014566e+01,2.800661645266050215e+01,2.800000000000036238e+01,2.360718288502634365e+01
1.200000000000000000e+01,2.810559999999999903e+01,2.440246657137841169e+00,2.469264300053131223e+01,2.800000000000016342e+01,2.800752694483025707e+01,2.800000000000039790e+01,2.342974804334300742e+01
1.300000000000000000e+01,2.811439999999999984e+01,2.435870756194460807e+00,2.469798511112141526e+01,2.800000000000017053e+01,2.800847414717281580e+01,2.800000000000037303e+01,2.326093613151009265e+01
1.400000000000000000e+01,2.812320000000000064e+01,2.431668817668509064e+00,2.470332540657551945e+01,2.800000000000018829e+01,2.800945646247195242e+01,2.800000000000041922e+01,2.309976183004700800e+01
1.500000000000000000e+01,2.813199999999999790e+01,2.427622468528860988e+00,2.470866388809104208e+01,2.800000000000023093e+01,2.801047246920605716e+01,2.800000000000047251e+01,2.294541433662988794e+01
1.600000000000000000e+01,2.814079999999999870e+01,2.423716289318977868e+00,2.471400055686420671e+01,2.800000000000024158e+01,2.801152089282938107e+01,2.800000000000050804e+01,2.279721797667889049e+01
1.700000000000000000e+01,2.814959999999999951e+01,2.419937279950732378e+00,2.471933541409011426e+01,2.800000000000022027e+01,2.801260058214869275e+01,2.800000000000049383e+01,2.265459543005411547e+01
1.800000000000000000e+01,2.815840000000000032e+01,2.416274372226496769e+00,2.472466846096263993e+01,2.800000000000023093e+01,2.801371048977618017e+01,2.800000000000051514e+01,2.251706162904330455e+01
1.900000000000000000e+01,2.816720000000000113e+01,2.412718005154295131e+00,2.472999969867448300e+01,2.800000000000024869e+01,2.801484965699348706e+01,2.800000000000043343e+01,2.238419181293996729e+01
2.000000000000000000e+01,2.817599999999999838e+01,2.409259838108587015e+00,2.473532912841717035e+01,2.800000000000027356e+01,2.801601720240404347e+01,2.800000000000013500e+01,2.225561895898386311e+01
2.100000000000000000e+01,2.818479999999999919e+01,2.405892559750713033e+00,2.474065675138102804e+01,2.800000000000028777e+01,2.801721231252608746e+01,2.799999999999906919e+01,2.213102244728164436e+01
2.200000000000000000e+01,2.819359999999999999e+01,2.402609731182651309e+00,2.474598256875526658e+01,2.800000000000029843e+01,2.801843423343195738e+01,2.799999999999531397e+01,2.201011830333395025e+01
2.300000000000000000e+01,2.820240000000000080e+01,2.399405644842913077e+00,2.475130658172789566e+01,2.800000000000030198e+01,2.801968226359015546e+01,2.799999999998356159e+01,2.189265488826805850e+01
2.400000000000000000e+01,2.821119999999999806e+01,2.396275205898499294e+00,2.475662879148569573e+01,2.800000000000030553e+01,2.802095574807010081e+01,2.799999999995009858e+01,2.177840622235670054e+01
2.500000000000000000e+01,2.821999999999999886e+01,2.393213844332311879e+00,2.476194919921438498e+01,2.800000000000030909e+01,2.802225407377408217e+01,2.799999999986247445e+01,2.166717276875433384e+01
2.600000000000000000e+01,2.822879999999999967e+01,2.390217439090433604e+00,2.476726780609846301e+01,2.800000000000038014e+01,2.802357666525843172e+01,2.799999999964947861e+01,2.155877310010014369e+01
2.700000000000000000e+01,2.823760000000000048e+01,2.387282271768500053e+00,2.477258461332120731e+01,2.800000000000054357e+01,2.802492298099892665e+01,2.799999999916240512e+01,2.145304149936119487e+01
2.800000000000000000e+01,2.824639999999999773e+01,2.384404958660858664e+00,2.477789962206480112e+01,2.800000000000087041e+01,2.802629251015257239e+01,2.799999999811785045e+01,2.134982951397811135e+01
2.900000000000000000e+01,2.825519999999999854e+01,2.381582415363307170e+00,2.478321283351030146e+01,2.800000000000149925e+01,2.802768476979970913e+01,2.799999999599720013e+01,2.124900298006737387e+01
3.000000000000000000e+01,2.826399999999999935e+01,2.378811823203230258e+00,2.478852424883745798e+01,2.800000000000276046e+01,2.802909930254267223e+01,2.799999999189569522e+01,2.115043849469133619e+01
3.100000000000000000e+01,2.827280000000000015e+01,2.376090598732976567e+00,2.479383386922500776e+01,2.800000000000526512e+01,2.803053567435591020e+01,2.799999998427903591e+01,2.105402075700178344e+01
3.200000000000000000e+01,2.828160000000000096e+01,2.373416365602293965e+00,2.479914169585047290e+01,2.800000000000993339e+01,2.803199347265947949e+01,2.799999997070950997e+01,2.095964442117332993e+01
3.300000000000000000e+01,2.829039999999999822e+01,2.370786931060940628e+00,2.480444772989018531e+01,2.800000000001831424e+01,2.803347230461568174e+01,2.799999994740565867e+01,2.086721351048852569e+01
3.400000000000000000e+01,2.829919999999999902e+01,2.368200267079247467e+00,2.480975197251938624e+01,2.800000000003305445e+01,2.803497179562349118e+01,2.799999990867884492e+01,2.077663911251959661e+01
3.500000000000000000e+01,2.830799999999999983e+01,2.365654494194992630e+00,2.481505442491208768e+01,2.800000000005807266e+01,2.803649158796894270e+01,2.799999984622583327e+01,2.068783861706993932e+01
3.600000000000000000e+01,2.831680000000000064e+01,2.363147866770589189e+00,2.482035508824121450e+01,2.800000000009938361e+01,2.803803133960339977e+01,2.799999974826056359e+01,2.060073522210130648e+01
3.700000000000000000e+01,2.832559999999999789e+01,2.360678759693647599e+00,2.482565396367849786e+01,2.800000000016580159e+01,2.803959072303925382e+01,2.799999959841967367e+01,2.051525749970371848e+01
